id,result
57927,1
30238,1
97835,1
85873,0
67939,0
83276,0
39385,1
46942,1
65641,1
56037,1
41107,1
40262,0
89688,1
15373,0
78066,1
82393,1
19262,1
82934,0
58885,1
84407,1
47149,0
19208,1
14476,0
62591,1
75584,0
13811,1
38199,1
34590,1
93224,1
6274,1
83948,1
85746,1
53407,0
41385,0
35972,1
64361,1
35969,0
44538,0
31645,0
77817,0
43984,0
22683,1
12605,0
99434,1
55924,1
88344,1
13062,1
95223,1
38129,1
49570,0
28471,1
74356,1
12831,1
49820,1
37125,1
54368,1
89375,1
64451,1
25584,1
6428,1
75940,1
56268,1
10187,0
34179,1
55871,1
32331,1
96669,0
85764,1
74431,1
74767,1
28472,0
85952,1
98452,0
90371,1
89366,1
99129,0
88761,1
86271,1
17992,1
55148,0
46695,1
24000,0
78880,0
78965,0
80785,0
4293,0
34539,0
28447,1
84381,1
8213,1
42340,0
95072,1
76445,1
52776,1
81214,1
198,0
55736,1
65963,1
48291,1
51106,1
81678,0
97932,0
46254,1
28561,1
95126,1
35916,0
93411,1
88379,0
720,0
90445,1
12671,1
40619,1
80732,0
79848,0
10979,0
57553,1
26405,0
17046,1
81461,1
78221,0
46694,1
38958,1
56340,0
59415,1
77981,1
88359,1
6859,0
64506,0
6586,1
24020,1
66678,1
54852,1
78890,1
3429,1
6551,1
89741,1
32981,1
18895,0
57933,1
81955,0
4300,1
59888,0
35286,1
5447,0
19957,1
89708,1
38767,1
31738,1
32037,1
97393,1
81479,1
71630,1
50529,1
57394,1
26285,1
94054,1
15201,1
4144,0
51272,1
52304,1
45553,1
27165,1
42583,1
15853,1
44560,0
31678,0
64626,1
79851,1
5594,0
34287,1
71420,0
47791,0
98450,1
26218,0
47996,1
77913,1
40853,1
15700,1
50282,1
66883,1
50472,0
32938,1
6861,0
69546,1
57045,1
68943,1
22982,1
75335,1
43958,0
47472,1
15415,0
32453,1
46846,1
69542,0
49449,0
98860,1
49712,1
14580,0
88696,0
86796,1
2844,1
478,1
58912,0
54415,0
87762,1
51220,0
1536,1
13654,1
43051,1
54744,0
47850,0
8984,0
90820,1
6353,1
18038,1
81293,0
5505,1
77972,0
35264,0
27132,1
18258,1
41501,1
24275,0
11821,1
32141,0
10598,1
8597,0
99409,1
50738,1
40728,0
21780,0
26791,0
31457,0
72714,0
43599,0
70689,0
6484,0
83530,1
78892,1
28175,1
85547,0
73787,1
61609,0
32893,1
4853,1
90079,1
61506,0
71184,1
42539,1
5729,1
48140,1
10656,1
75644,1
63750,1
91659,1
77494,0
87824,0
25757,0
91613,0
45242,1
62392,1
29566,1
69957,1
95635,0
35341,1
73072,0
61503,1
89903,1
85509,0
45781,1
81125,1
67505,1
94699,1
77367,1
37563,1
50724,0
61175,1
73061,0
34267,0
17093,1
34960,0
4946,0
71043,1
95347,1
80141,0
20338,1
25445,1
59131,1
56516,1
39672,0
44702,1
1871,1
19456,1
2763,1
57532,0
78882,1
76340,1
90004,0
59350,1
25551,0
28402,1
52915,1
89255,1
13956,1
17915,0
52061,0
32727,1
13470,0
39541,1
58198,0
68483,0
93434,0
80127,1
42360,1
33382,1
61891,1
57462,0
40681,0
69976,0
6728,1
29753,1
95417,1
99026,0
88811,1
85338,1
3682,1
36057,1
75869,0
20869,1
79516,1
46701,1
23321,1
82507,0
77926,0
51690,0
97125,0
4901,1
84082,1
90523,1
53497,0
11847,0
12429,0
72172,0
29690,1
45355,1
68872,0
45240,0
1567,0
4101,1
94872,1
9130,0
91764,0
18095,1
4114,1
93243,0
54554,0
9440,0
10862,0
17304,0
56008,0
58846,0
66062,1
73733,1
64484,0
56579,0
41594,1
35209,0
21290,1
40380,1
44196,0
31784,0
17800,0
91965,1
72879,0
28105,1
34987,1
90877,1
83577,0
71404,1
77267,0
55909,1
92875,1
88075,0
86422,1
33557,1
26257,0
17539,1
2906,1
83333,1
90031,1
90440,1
11635,1
7946,1
71183,0
85173,0
238,1
4366,0
84022,0
30685,1
35876,0
99441,1
85396,0
56897,1
15590,1
17945,1
11487,0
1204,1
50805,0
97054,1
90387,1
85375,1
71757,0
1157,1
45860,0
55917,1
92741,1
39048,0
24663,0
86170,1
2364,0
95328,1
9489,1
67730,1
56828,1
82999,1
34908,0
65894,0
3613,0
23574,1
32688,0
80183,1
69966,0
44956,0
98692,1
4087,1
55229,1
42985,1
67184,1
87320,1
65563,0
92640,0
67793,1
16512,1
55254,1
32818,1
9269,1
97129,0
45655,1
46315,1
97008,1
56434,0
26269,0
9436,1
57717,0
37352,1
60261,1
10260,1
11296,1
1792,1
71346,1
45283,0
82512,1
39029,1
20456,1
69025,0
76479,1
12273,1
64158,0
1086,1
79656,1
55483,0
98161,1
76753,0
40488,1
46358,0
79117,1
50062,1
40598,1
39821,1
83116,1
37682,1
61143,1
54803,1
40124,0
49155,1
87045,0
53100,0
45238,0
62515,1
31217,1
31026,1
97845,1
44628,0
83621,1
77638,1
38570,1
47161,1
61809,1
17582,1
89454,1
91932,1
97493,1
46260,0
72065,1
88041,0
5414,1
17843,0
83497,1
40049,1
80244,1
77756,1
40941,0
75251,1
96722,0
77629,1
24245,0
3909,1
58381,1
93593,1
39682,1
74616,1
42545,1
67051,1
56211,1
74980,0
8,1
14314,1
42151,0
76665,1
85505,0
50094,1
29947,1
23012,1
16557,1
18272,1
80206,0
62943,1
91671,1
40565,1
31353,0
84928,0
98492,0
83875,1
74038,0
84363,1
18089,1
14171,0
62502,1
39670,1
51000,1
53262,1
67961,0
1256,0
97646,1
23721,1
95293,0
78579,0
1170,0
9473,0
68533,1
97531,1
22517,1
67537,0
91726,1
66413,1
25232,0
27438,0
54996,1
35785,0
94950,1
48065,1
55942,1
89001,1
15125,1
94032,1
17909,0
56775,0
72572,1
20849,0
26102,0
94046,1
95690,1
27604,0
88121,1
63177,0
18293,1
44876,1
11441,1
75559,0
14373,1
99667,1
69867,0
26395,0
2513,1
64826,1
85166,1
43454,0
55509,0
99425,1
76916,1
43227,1
16098,1
49049,1
22179,1
85599,1
48919,0
54834,1
82785,1
87227,1
64278,0
6794,1
95946,1
62864,0
50491,0
65584,0
67248,0
23008,1
94104,1
73032,1
49544,1
94216,0
27075,1
8151,1
87095,0
14546,1
38224,0
71839,1
95335,0
74868,1
77098,1
27018,0
71615,1
29597,1
77170,0
74721,1
82360,1
35583,0
54880,0
39985,0
50889,1
33608,1
71897,1
31271,1
35941,0
18951,0
30035,1
32763,0
94708,0
48683,0
33061,0
2893,0
18124,1
95669,1
52357,1
3979,1
23299,1
91421,1
29601,1
94352,1
60335,0
61986,1
1609,1
49582,1
61393,0
7074,1
17035,1
22956,1
57480,1
23835,1
74916,0
10719,1
32676,1
75601,0
3085,1
95532,1
89941,1
99393,1
72648,1
13883,1
5550,1
87249,1
30368,0
35403,1
70911,0
65455,0
70134,0
93610,0
94138,1
37680,1
5783,0
18596,0
80733,1
60486,1
74776,0
67107,0
67913,1
18150,1
42397,1
75195,0
14683,1
40706,0
96914,0
16710,0
93984,1
24397,0
4655,1
17117,1
50287,0
95158,1
89914,0
5044,0
22649,0
36411,1
74824,1
27902,1
64029,1
15978,1
62155,1
12296,0
2432,0
40575,0
67268,1
16001,0
91178,1
25783,1
82588,1
74335,1
56064,1
64341,0
8590,0
7965,1
2378,0
15497,0
99970,1
21981,1
56819,1
62333,1
49075,0
81106,1
50260,1
58391,1
7491,0
56455,1
21478,1
63181,0
20154,1
51194,1
75738,1
61345,1
73301,1
72321,0
81805,1
74682,1
31972,0
61865,0
55645,0
66829,1
79172,1
88459,0
5813,1
481,1
44251,0
26589,1
74903,1
93846,1
42786,1
87174,1
50454,1
84213,1
30279,1
96764,1
62688,1
22146,1
48818,1
46900,1
66670,1
21585,1
27755,1
51623,1
51506,1
66490,0
97273,0
3551,0
9361,0
45968,1
84900,1
87172,1
8876,1
42683,1
16806,1
46992,0
63861,0
60438,1
33790,0
9553,1
38437,1
72132,0
96534,1
28720,1
71558,1
76450,0
81172,0
36339,1
68019,1
90813,0
48123,1
41814,1
28323,1
58983,1
36800,0
32078,1
50948,1
94999,0
1837,1
69582,1
12607,1
31310,1
12873,1
50082,1
5126,1
97743,1
27478,1
45266,1
25001,1
45394,0
44433,0
63739,1
47604,1
79783,0
76056,1
68695,0
85775,1
41544,1
4859,1
84464,1
33635,0
8821,1
63165,1
19939,1
65709,0
21678,1
6617,1
28477,0
74161,1
99098,0
92122,0
14804,1
29007,1
11957,1
79131,1
19301,1
71258,1
26297,1
48275,1
84675,1
11448,1
98151,0
10235,0
39518,1
93387,1
58265,1
99836,1
16495,1
78853,1
17509,0
86656,1
3851,1
22430,0
60042,1
62068,1
98335,1
42678,1
79325,0
67651,1
32481,0
64138,1
55636,1
96182,1
93160,0
8932,1
35164,0
1617,0
15018,1
79102,1
97357,0
9173,0
91534,1
85378,1
32514,1
11086,1
4247,1
50943,0
76861,0
98326,1
68341,1
28342,1
98655,1
96901,0
53235,0
22955,0
74486,1
68632,0
42823,1
81387,1
81649,1
95236,0
13403,1
10170,1
12485,0
76705,1
39801,0
61252,0
96554,1
58953,1
9218,1
94427,1
51338,0
85108,1
35326,0
76917,0
52678,0
98999,1
24961,1
9856,1
28792,1
58589,1
67449,0
10160,1
7495,1
54929,1
70552,0
76206,1
51189,1
96919,0
78897,0
45529,0
93114,0
71023,1
28974,1
2586,1
28053,0
58819,0
79111,1
96310,1
71032,1
68660,1
53308,1
82156,1
2064,1
73646,0
97065,0
82618,1
81018,0
13324,1
79737,0
56538,0
21436,0
34416,0
44768,0
82966,0
19866,1
28702,1
36393,1
88780,0
22503,1
57701,1
73680,0
28287,1
68133,1
34991,1
38037,1
18733,1
67991,0
35557,1
85776,1
73560,1
45908,1
66708,1
61925,1
36229,1
4253,0
99111,1
93893,1
66628,1
9236,1
59806,0
3650,1
